Population,Plant,Males,Females
9,1,4,0
9,3,4,2
9,17,2,4
9,12,1,4
12,7,4,4
12,8,3,5
12,6,1,2
12,2,4,3
12,4,2,2
12,5,3,2
12,3,5,3
12,1,2,0
32,4,7,3
32,7,1,6
32,8,7,4
32,47,1,2
32,45,1,0
32,46,2,0
32,43,0,1
32,44,2,1
32,10,4,1
32,1,2,0
32,12,0,1
32,14,0,1
32,20,1,0
32,10,1,0
32,6,3,2
32,9,8,4
32,18,0,1
58,12,1,1
58,13,2,1
58,14,0,1
58,15,1,2
58,17,1,0
58,18,0,1
58,19,1,2
58,20,5,1
157,15,2,3
157,16,3,3
157,20,2,6
157,19,5,2
157,21,5,2
157,17,5,3
157,18,2,2
157,14,2,4
157,23,0,2
157,22,0,3
75,38,1,2
75,29,1,1
75,37,5,4
75,30,0,0
75,31,2,0
75,32,0,2
75,35,2,2
75,37,1,3
75,29,0,1
75,30,0,1
75,23,2,1
75,36,2,1
73,15,2,0
73,13,1,0
73,11,1,1
73,12,0,2
73,17,2,1
73,18,2,1
73,20,1,0
73,19,2,0
93,11,3,2
93,12,0,1
93,13,0,1
93,14,2,2
93,15,4,4
93,16,4,2
93,17,0,2
93,18,5,2
93,19,4,3
93,20,3,2
200,7,2,1
200,10,0,0
200,4,1,1
200,9,1,1
200,3,3,2
200,2,1,1
200,6,4,0
200,0,3,3
200,5,1,0
200,3,2,2
153,12,3,2
153,19,4,8
153,13,2,2
153,20,4,3
153,14,6,3
153,15,1,2
153,17,3,7
153,18,5,4
153,16,5,5
153,11,2,5
161,2,15,13
161,1,6,9
161,4,7,11
161,3,11,6
161,9,7,4
161,10,6,4
161,5,5,7
161,6,7,9
162,2,7,6
162,3,10,9
162,11,6,8
162,5,11,5
162,7,7,6
162,10,7,4
162,4,9,3
163,4,1,1
163,2,4,5
163,5,1,6
163,7,2,1
163,12,3,1
163,9,2,2
163,11,2,3
163,12,6,2
159,14,2,4
159,18,9,4
159,11,4,1
159,13,2,3
159,17,5,3
88,11,4,2
88,12,3,2
88,13,3,1
88,14,1,2
88,15,1,1
88,16,0,0
88,17,6,2
88,18,2,2
88,19,1,4
88,20,2,2
177,5,5,3
177,4,6,5
177,6,1,1
177,3,10,12
177,2,5,6
177,1,13,17
177,8,3,1
177,7,6,5
166,1,2,3
166,4,0,4
166,3,4,1
166,7,1,1
166,2,1,3
166,5,7,6
166,6,4,3
166,10,0,5
175,5,2,0
175,4,1,0
175,6,1,0
175,1,3,4
175,3,2,1
175,2,4,3
64,5,2,0
64,6,2,1
64,7,5,4
64,8,3,10
64,14,4,4
sfran,4,3,0
sfran,7,2,3
sfran,8,2,2
sfran,2,2,0
sfran,1,6,6
sfran,5,5,3
sfran,6,4,0
sfran,9,2,2
160,14,7,4
160,12,1,3
160,20,8,5
160,11,2,9
160,15,3,4
160,16,14,7
160,19,4,0
160,17,9,4
84,3,3,2
84,12,4,1
84,15,0,1
84,18,3,2
84,20,0,3
84,16,0,3
84,11,3,5
168,2,1,3
168,4,1,2
168,3,8,10
168,8,3,3
168,9,4,2
168,6,2,1
168,5,3,1
168,1,6,3
98,12,2,3
98,13,0,5
98,14,1,1
98,15,0,0
173,4,2,6
173,5,3,5
173,6,6,9
173,1,1,3
173,2,4,5
173,3,3,4
48,15,1,1
48,12,2,1
48,16,3,7
48,18,0,0
48,19,0,2
48,20,0,2
48,11,2,4
48,13,0,4
48,17,9,6
48,14,1,0
51,13,0,1
51,14,1,0
51,15,3,2
51,16,0,2
51,17,2,3
51,18,1,1
51,19,1,1
51,20,1,1
77,15,2,1
77,20,2,1
77,12,1,2
77,18,2,0
77,14,2,1
77,16,2,1
77,17,1,3
77,13,5,4
77,11,2,3
89,31,4,1
89,32,4,3
89,34,3,2
89,36,1,3
89,37,2,2
89,40,2,3
89,39,2,5
171,1,2,7
171,2,1,7
171,7,1,5
171,4,3,1
171,5,4,1
171,6,10,2
171,3,4,5
171,21,2,1
171,19,2,2
171,18,3,5
171,15,2,0
171,16,2,3
171,14,2,0
Aqu 174,16,0,0
Aqu 174,17,1,1
Aqu 174,15,1,2
Aqu 174,13,4,4
Aqu 174,12,4,0
Aqu 174,18,2,2
156,11,2,5
156,13,3,3
156,15,2,1
156,16,1,1
156,12,1,3
156,14,2,3
165,4,1,2
165,6,9,0
165,11,7,4
165,10,3,5
165,3,2,5
165,9,3,3
165,2,0,7
165,1,1,4
169,4,13,1
169,6,2,1
169,8,8,7
169,7,2,
169,2,8,4
169,5,1,1
169,3,10,8
169,1,3,6